objectPath,objectName,objectType,id
/SYS,FlatFile_Connection,Connection,e84jIGJjcg5gaWi7qSDkqY
/Explore/DCF_DEV_PARAM/RAWDATA_PARAM,m_RAWDATA_MAPPING _BULK,DTEMPLATE,5SzwDo4C9oRcrp65mgfEyn
/SYS,RAWDATA_SNOWFLAKE,Connection,5tJ19VTM800fa5H5H5mTuW
/Explore/DCF_DEV_PARAM/RAWDATA_PARAM,m_AUDIT_LOG,DTEMPLATE,8iFLjmkAbYmcfao80WPVKy
/Explore/DCF_DEV_PARAM/RAWDATA_PARAM,tf_T_RECORD_REQUESTS,TASKFLOW,ezPgZh87VA4eOYqDhJER4d
/Explore/DCF_DEV_PARAM/RAWDATA_PARAM,mt_T_RECORD_REQUESTS,MTT,0p6BiFbGEtwkQlWsEzHQkN
/Explore/DCF_DEV_PARAM/RAWDATA_PARAM,mt_AUDIT_LOG,MTT,6SOd9EONBG7bavUbJXqbM4
/SYS,SWTEST,AgentGroup,3hBMLqd9OE6dAnXh46FhcX
/Explore,DCF_DEV_PARAM,Project,hzLqJ227yQogb5THv6xYYC
/Explore/DCF_DEV_PARAM/RAWDATA_PARAM,mt_T_RECORD_REQUESTS_PARAM,MTT,4BrFU8CGqG3hM9oHrU7l4l
/SYS,DEFT-PTharun,AgentGroup,7gFGBqpiYzdg4jemsZ3w2C
/Explore/DCF_DEV_PARAM/RAWDATA_PARAM,m_RAWDATA_PARAMETER,DTEMPLATE,7BvdmFdDF1QcsqpTqmfbMX
/SYS,DCF_ORCL_SWTEST,Connection,i0Z3ItZXVYRj4A6GqgS3c4
/Explore/DCF_DEV_PARAM,RAWDATA_PARAM,Folder,10HFNwa3oEtgvEUOCUAlqF